how many flights does twa have in business class	O O O O B-airline_code O O B-class_type I-class_type
how many booking classes are there	O O O O O O
please tell me how many nonstop flights there are from boston to atlanta	O O O O O B-flight_stop O O O O B-fromloc.city_name O B-toloc.city_name
how many nonstop flights going from dallas to oakland july twenty seventh	O O B-flight_stop O O O B-fromloc.city_name O B-toloc.city_name B-arrive_date.month_name B-arrive_date.day_number I-arrive_date.day_number
how many flights are there between san francisco and philadelphia on august eighteenth	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
how many fare codes belong to economy class	O O O O O O B-economy I-economy
how many cities are served by continental with first class flights	O O O O O O B-airline_name O B-class_type I-class_type O
how many fares are there one way from tacoma to montreal	O O O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name
how many flights arrive at general mitchell international	O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name
how many first class flights does united have leaving from all airports today	O O B-class_type I-class_type O O B-airline_name O O O O O B-depart_date.today_relative
how many stops are on all flights from boston to san francisco that depart before 12 o'clock noon	O O B-flight_stop O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time
how many first class flights does united have leaving from all cities today	O O B-class_type I-class_type O O B-airline_name O O O O O B-depart_date.today_relative
how many flights does delta have with a class of service code f	O O O O B-airline_name O O O O O O O B-fare_basis_code
how many flights go from dallas to baltimore on july nineteenth	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
how many airports does oakland have	O O O O B-city_name O
how many united flights are there from san francisco please	O O B-airline_name O O O O B-fromloc.city_name I-fromloc.city_name O
how many airlines fly from new york to los angeles by way of milwaukee	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name
how many stops on continental 1765 from boston to san francisco	O O O O B-airline_name B-flight_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
how many different flight classes are there	O O O O O O O
how many cities are served by delta airlines with first class flights	O O O O O O B-airline_name I-airline_name O B-class_type I-class_type O
how many cities are served by eastern with first class flights	O O O O O O B-airline_name O B-class_type I-class_type O
how many cities are served by lufthansa with first class flights	O O O O O O B-airline_name O B-class_type I-class_type O
how many delta flights leave from washington	O O B-airline_name O O O B-fromloc.city_name
how many cities are served by twa with first class flights	O O O O O O B-airline_code O B-class_type I-class_type O
how many first class flights does delta have today	O O B-class_type I-class_type O O B-airline_name O B-depart_date.today_relative
how many daily us air flights are there between philadelphia and pittsburgh	O O B-flight_days B-airline_name I-airline_name O O O O B-fromloc.city_name O B-toloc.city_name
how many united flights are there to san francisco	O O B-airline_name O O O O B-toloc.city_name I-toloc.city_name
list the number of flights leaving boston for dallas fort worth before 9 am in the morning	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time O O B-depart_time.period_of_day
how many first class flights does united have leaving from all cities today	O O B-class_type I-class_type O O B-airline_name O O O O O B-depart_date.today_relative
list the total number of flights between all airports by delta	O O O O O O O O O O B-airline_name
how many flights does continental airlines have with a class of service code f	O O O O B-airline_name I-airline_name O O O O O O O B-fare_basis_code
how many first class flights are provided by american airlines	O O B-class_type I-class_type O O O O B-airline_name I-airline_name
